,animal,cohort,Injection.Day,Animal..,LPS.Treatment,sex,lethargy,ptosis,piloerection,Total.Score
1,72,6,4,0,1XLPS,F,0.5,0,0,0.5
2,73,6,4,1,1XLPS,F,0.5,0,0,0.5
3,74,6,4,2,1XLPS,F,0,0,0,0
4,59,6,4,0,2XLPS,F,1,0,0.5,1.5
5,60,6,4,1,2XLPS,F,0.5,0,1,1.5
6,61,6,4,2,2XLPS,F,1,0,0.5,1.5
7,62,6,4,3,2XLPS,F,0.5,0,0.5,1
8,63,6,4,4,2XLPS,F,0.5,0,0.5,1
9,64,6,4,0,4XLPS,F,0.5,0,0.5,1
10,65,6,4,1,4XLPS,F,0.5,0,0,0.5
11,66,6,4,2,4XLPS,F,1,0,0.5,1.5
12,67,6,4,3,4XLPS,F,0,0,0,0
13,68,6,4,0,PBS,F,0,0,0,0
14,69,6,4,1,PBS,F,0,0,0,0
15,70,6,4,2,PBS,F,0,0,0,0
16,71,6,4,3,PBS,F,0,0,0,0
17,5,1,4,1,1XLPS,M,0.5,0,0,0.5
18,6,1,4,2,1XLPS,M,0.5,0,0,0.5
19,7,1,4,3,1XLPS,M,0.5,0,0,0.5
20,8,1,4,4,1XLPS,M,0.5,0,0,0.5
21,75,7,4,0,1XLPS,M,0.5,0,0.5,1
22,76,7,4,1,1XLPS,M,0,0,0.5,0.5
23,77,7,4,2,1XLPS,M,0.5,0,0.5,1
24,78,7,4,3,1XLPS,M,0,0,0.5,0.5
25,9,1,4,1,2XLPS,M,1,0.5,0,1.5
26,10,1,4,2,2XLPS,M,1,0.5,0,1.5
27,11,1,4,3,2XLPS,M,1,0.5,0,1.5
28,12,1,4,4,2XLPS,M,1,0.5,0,1.5
29,79,7,4,1,2XLPS,M,1,0,1,2
30,80,7,4,2,2XLPS,M,0.5,0,0.5,1
31,81,7,4,3,2XLPS,M,1,0,1,2
32,13,1,4,1,3XLPS,M,0.5,0,0,0.5
33,14,1,4,2,3XLPS,M,0.5,0,0,0.5
34,15,1,4,3,3XLPS,M,0.5,0,0,0.5
35,16,1,4,4,3XLPS,M,0.5,0,0,0.5
36,82,7,4,0,3XLPS,M,0.5,0,0.5,1
37,83,7,4,1,3XLPS,M,0,0,0.5,0.5
38,84,7,4,2,3XLPS,M,0.5,0,0.5,1
39,85,7,4,3,3XLPS,M,0.5,0,0.5,1
40,17,1,4,1,4XLPS,M,0,0,0,0
41,18,1,4,2,4XLPS,M,0,0,0,0
42,19,1,4,3,4XLPS,M,0,0,0,0
43,20,1,4,4,4XLPS,M,0,0,0,0
44,86,7,4,0,4XLPS,M,0.5,0,0.5,1
45,87,7,4,1,4XLPS,M,0,0,0.5,0.5
46,88,7,4,2,4XLPS,M,1,0,1,2
47,89,7,4,3,4XLPS,M,0.5,0,1,1.5
48,1,1,4,1,PBS,M,0,0,0,0
49,2,1,4,2,PBS,M,0,0,0,0
50,3,1,4,3,PBS,M,0,0,0,0
51,4,1,4,4,PBS,M,0,0,0,0
52,90,7,4,0,PBS,M,0,0,0,0
53,91,7,4,1,PBS,M,0,0,0,0
54,92,7,4,2,PBS,M,0,0,0,0
55,93,7,4,3,PBS,M,0,0,0,0
56,94,8,4,NA,PBS,F,0.5,0,0,0.5
57,95,8,4,NA,PBS,F,0,0,0,0
58,96,8,4,NA,1XLPS,F,0,0,0,0
59,97,8,4,NA,1XLPS,F,0.5,0,0.5,1
60,98,8,4,NA,1XLPS,F,0.5,0,0.5,1
61,99,8,4,NA,2XLPS,F,1,0,0.5,1.5
62,100,8,4,NA,2XLPS,F,0,0,0,0
63,101,8,4,NA,2XLPS,F,1,0,1,2
64,102,8,4,NA,4XLPS,F,0.5,0,0,0.5
65,103,8,4,NA,4XLPS,F,0.5,0,0.5,1
66,104,8,4,NA,4XLPS,F,0.5,0,0.5,1
67,105,8,4,NA,PBS,M,0,0,0.5,0.5
68,106,8,4,NA,PBS,M,0,0,0.5,0.5
69,107,8,4,NA,1XLPS,M,0.5,0,0,0.5
70,108,8,4,NA,1XLPS,M,1,0,0.5,1.5
71,109,8,4,NA,2XLPS,M,1,0,1,2
72,110,8,4,NA,2XLPS,M,0.5,0,1,1.5
73,111,8,4,NA,2XLPS,M,1,0,1,2
74,112,8,4,NA,4XLPS,M,0.5,0,1,1.5
75,113,8,4,NA,4XLPS,M,0.5,0,0.5,1
